learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=5000)


percent test accuracy 0.68599998951, loop: 2520
percent test accuracy 0.68599998951, loop: 2530
percent test accuracy 0.688000023365, loop: 2540
percent test accuracy 0.689999997616, loop: 2550
percent test accuracy 0.691999971867, loop: 2560
percent test accuracy 0.694000005722, loop: 2570
percent test accuracy 0.688000023365, loop: 2580
percent test accuracy 0.694000005722, loop: 2590
percent test accuracy 0.691999971867, loop: 2600
percent test accuracy 0.694000005722, loop: 2610
percent test accuracy 0.691999971867, loop: 2620
percent test accuracy 0.694000005722, loop: 2630
percent test accuracy 0.694000005722, loop: 2640
percent test accuracy 0.699999988079, loop: 2650
percent test accuracy 0.695999979973, loop: 2660
percent test accuracy 0.691999971867, loop: 2670
percent test accuracy 0.694000005722, loop: 2680
percent test accuracy 0.698000013828, loop: 2690
percent test accuracy 0.708000004292, loop: 2700
percent test accuracy 0.703999996185, loop: 2710
percent test accuracy 0.703999996185, loop: 2720
percent test accuracy 0.709999978542, loop: 2730
percent test accuracy 0.712000012398, loop: 2740
percent test accuracy 0.709999978542, loop: 2750
percent test accuracy 0.713999986649, loop: 2760
percent test accuracy 0.705999970436, loop: 2770
percent test accuracy 0.709999978542, loop: 2780
percent test accuracy 0.703999996185, loop: 2790
percent test accuracy 0.699999988079, loop: 2800
percent test accuracy 0.702000021935, loop: 2810
percent test accuracy 0.705999970436, loop: 2820
percent test accuracy 0.702000021935, loop: 2830
percent test accuracy 0.703999996185, loop: 2840
percent test accuracy 0.705999970436, loop: 2850
percent test accuracy 0.709999978542, loop: 2860
percent test accuracy 0.708000004292, loop: 2870
percent test accuracy 0.708000004292, loop: 2880
percent test accuracy 0.705999970436, loop: 2890
percent test accuracy 0.705999970436, loop: 2900
percent test accuracy 0.703999996185, loop: 2910
percent test accuracy 0.699999988079, loop: 2920
percent test accuracy 0.703999996185, loop: 2930
percent test accuracy 0.708000004292, loop: 2940
percent test accuracy 0.705999970436, loop: 2950
percent test accuracy 0.703999996185, loop: 2960
percent test accuracy 0.716000020504, loop: 2970
percent test accuracy 0.702000021935, loop: 2980
percent test accuracy 0.703999996185, loop: 2990
percent test accuracy 0.705999970436, loop: 3000
percent test accuracy 0.716000020504, loop: 3010
percent test accuracy 0.703999996185, loop: 3020
percent test accuracy 0.703999996185, loop: 3030
percent test accuracy 0.723999977112, loop: 3040
percent test accuracy 0.723999977112, loop: 3050
percent test accuracy 0.723999977112, loop: 3060
percent test accuracy 0.722000002861, loop: 3070
percent test accuracy 0.722000002861, loop: 3080
percent test accuracy 0.726000010967, loop: 3090
percent test accuracy 0.727999985218, loop: 3100
percent test accuracy 0.727999985218, loop: 3110
percent test accuracy 0.727999985218, loop: 3120
percent test accuracy 0.727999985218, loop: 3130
percent test accuracy 0.727999985218, loop: 3140
percent test accuracy 0.730000019073, loop: 3150
percent test accuracy 0.731999993324, loop: 3160
percent test accuracy 0.730000019073, loop: 3170
percent test accuracy 0.73400002718, loop: 3180
percent test accuracy 0.72000002861, loop: 3190
percent test accuracy 0.727999985218, loop: 3200
percent test accuracy 0.73400002718, loop: 3210
percent test accuracy 0.726000010967, loop: 3220
percent test accuracy 0.726000010967, loop: 3230
percent test accuracy 0.726000010967, loop: 3240
percent test accuracy 0.727999985218, loop: 3250
percent test accuracy 0.730000019073, loop: 3260
percent test accuracy 0.731999993324, loop: 3270
percent test accuracy 0.727999985218, loop: 3280
percent test accuracy 0.731999993324, loop: 3290
percent test accuracy 0.736000001431, loop: 3300
percent test accuracy 0.73400002718, loop: 3310
percent test accuracy 0.73400002718, loop: 3320
percent test accuracy 0.73400002718, loop: 3330
percent test accuracy 0.737999975681, loop: 3340
percent test accuracy 0.740000009537, loop: 3350
percent test accuracy 0.737999975681, loop: 3360
percent test accuracy 0.736000001431, loop: 3370
percent test accuracy 0.744000017643, loop: 3380
percent test accuracy 0.741999983788, loop: 3390
percent test accuracy 0.748000025749, loop: 3400
percent test accuracy 0.745999991894, loop: 3410
percent test accuracy 0.745999991894, loop: 3420
percent test accuracy 0.744000017643, loop: 3430
percent test accuracy 0.740000009537, loop: 3440
percent test accuracy 0.736000001431, loop: 3450
percent test accuracy 0.736000001431, loop: 3460
percent test accuracy 0.736000001431, loop: 3470
percent test accuracy 0.737999975681, loop: 3480
percent test accuracy 0.744000017643, loop: 3490
percent test accuracy 0.744000017643, loop: 3500
percent test accuracy 0.741999983788, loop: 3510
percent test accuracy 0.744000017643, loop: 3520
percent test accuracy 0.741999983788, loop: 3530
percent test accuracy 0.744000017643, loop: 3540
percent test accuracy 0.745999991894, loop: 3550
percent test accuracy 0.745999991894, loop: 3560
percent test accuracy 0.745999991894, loop: 3570
percent test accuracy 0.744000017643, loop: 3580
percent test accuracy 0.740000009537, loop: 3590
percent test accuracy 0.740000009537, loop: 3600
percent test accuracy 0.741999983788, loop: 3610
percent test accuracy 0.741999983788, loop: 3620
percent test accuracy 0.741999983788, loop: 3630
percent test accuracy 0.740000009537, loop: 3640
percent test accuracy 0.75, loop: 3650
percent test accuracy 0.740000009537, loop: 3660
percent test accuracy 0.740000009537, loop: 3670
percent test accuracy 0.741999983788, loop: 3680
percent test accuracy 0.744000017643, loop: 3690
percent test accuracy 0.745999991894, loop: 3700
percent test accuracy 0.75, loop: 3710
percent test accuracy 0.75, loop: 3720
percent test accuracy 0.751999974251, loop: 3730
percent test accuracy 0.75, loop: 3740
percent test accuracy 0.75, loop: 3750
percent test accuracy 0.751999974251, loop: 3760
percent test accuracy 0.75, loop: 3770
percent test accuracy 0.751999974251, loop: 3780
percent test accuracy 0.75, loop: 3790
percent test accuracy 0.751999974251, loop: 3800
percent test accuracy 0.751999974251, loop: 3810
percent test accuracy 0.754000008106, loop: 3820
percent test accuracy 0.755999982357, loop: 3830
percent test accuracy 0.751999974251, loop: 3840
percent test accuracy 0.754000008106, loop: 3850
percent test accuracy 0.751999974251, loop: 3860
percent test accuracy 0.751999974251, loop: 3870
percent test accuracy 0.754000008106, loop: 3880
percent test accuracy 0.754000008106, loop: 3890
percent test accuracy 0.754000008106, loop: 3900
percent test accuracy 0.754000008106, loop: 3910
percent test accuracy 0.751999974251, loop: 3920
percent test accuracy 0.754000008106, loop: 3930
percent test accuracy 0.751999974251, loop: 3940
percent test accuracy 0.755999982357, loop: 3950
percent test accuracy 0.751999974251, loop: 3960
percent test accuracy 0.755999982357, loop: 3970
percent test accuracy 0.755999982357, loop: 3980
percent test accuracy 0.755999982357, loop: 3990
percent test accuracy 0.754000008106, loop: 4000
percent test accuracy 0.755999982357, loop: 4010
percent test accuracy 0.754000008106, loop: 4020
percent test accuracy 0.759999990463, loop: 4030
percent test accuracy 0.76599997282, loop: 4040
percent test accuracy 0.768000006676, loop: 4050
percent test accuracy 0.755999982357, loop: 4060
percent test accuracy 0.758000016212, loop: 4070
percent test accuracy 0.758000016212, loop: 4080
percent test accuracy 0.762000024319, loop: 4090
percent test accuracy 0.772000014782, loop: 4100
percent test accuracy 0.76599997282, loop: 4110
percent test accuracy 0.772000014782, loop: 4120
percent test accuracy 0.76599997282, loop: 4130
percent test accuracy 0.758000016212, loop: 4140
percent test accuracy 0.763999998569, loop: 4150
percent test accuracy 0.76599997282, loop: 4160
percent test accuracy 0.76599997282, loop: 4170
percent test accuracy 0.763999998569, loop: 4180
percent test accuracy 0.76599997282, loop: 4190
percent test accuracy 0.769999980927, loop: 4200
percent test accuracy 0.763999998569, loop: 4210
percent test accuracy 0.769999980927, loop: 4220
percent test accuracy 0.763999998569, loop: 4230
percent test accuracy 0.769999980927, loop: 4240
percent test accuracy 0.768000006676, loop: 4250
percent test accuracy 0.763999998569, loop: 4260
percent test accuracy 0.76599997282, loop: 4270
percent test accuracy 0.769999980927, loop: 4280
percent test accuracy 0.769999980927, loop: 4290
percent test accuracy 0.762000024319, loop: 4300
percent test accuracy 0.769999980927, loop: 4310
percent test accuracy 0.762000024319, loop: 4320
percent test accuracy 0.768000006676, loop: 4330
percent test accuracy 0.762000024319, loop: 4340
percent test accuracy 0.769999980927, loop: 4350
percent test accuracy 0.769999980927, loop: 4360
percent test accuracy 0.772000014782, loop: 4370
percent test accuracy 0.768000006676, loop: 4380
percent test accuracy 0.763999998569, loop: 4390
percent test accuracy 0.763999998569, loop: 4400
percent test accuracy 0.763999998569, loop: 4410
percent test accuracy 0.769999980927, loop: 4420
percent test accuracy 0.769999980927, loop: 4430
percent test accuracy 0.769999980927, loop: 4440
percent test accuracy 0.772000014782, loop: 4450
percent test accuracy 0.768000006676, loop: 4460
percent test accuracy 0.768000006676, loop: 4470
percent test accuracy 0.768000006676, loop: 4480
percent test accuracy 0.769999980927, loop: 4490
percent test accuracy 0.769999980927, loop: 4500
percent test accuracy 0.768000006676, loop: 4510
percent test accuracy 0.76599997282, loop: 4520
percent test accuracy 0.769999980927, loop: 4530
percent test accuracy 0.772000014782, loop: 4540
percent test accuracy 0.769999980927, loop: 4550
percent test accuracy 0.769999980927, loop: 4560
percent test accuracy 0.776000022888, loop: 4570
percent test accuracy 0.769999980927, loop: 4580
percent test accuracy 0.772000014782, loop: 4590
percent test accuracy 0.768000006676, loop: 4600
percent test accuracy 0.769999980927, loop: 4610
