learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.546000003815, loop: 330
percent test accuracy 0.544000029564, loop: 340
percent test accuracy 0.547999978065, loop: 350
percent test accuracy 0.546000003815, loop: 360
percent test accuracy 0.547999978065, loop: 370
percent test accuracy 0.546000003815, loop: 380
percent test accuracy 0.541999995708, loop: 390
percent test accuracy 0.546000003815, loop: 400
percent test accuracy 0.550000011921, loop: 410
percent test accuracy 0.550000011921, loop: 420
percent test accuracy 0.547999978065, loop: 430
percent test accuracy 0.551999986172, loop: 440
percent test accuracy 0.551999986172, loop: 450
percent test accuracy 0.550000011921, loop: 460
percent test accuracy 0.550000011921, loop: 470
percent test accuracy 0.551999986172, loop: 480
percent test accuracy 0.546000003815, loop: 490
percent test accuracy 0.550000011921, loop: 500
percent test accuracy 0.550000011921, loop: 510
percent test accuracy 0.558000028133, loop: 520
percent test accuracy 0.554000020027, loop: 530
percent test accuracy 0.554000020027, loop: 540
percent test accuracy 0.554000020027, loop: 550
percent test accuracy 0.554000020027, loop: 560
percent test accuracy 0.560000002384, loop: 570
percent test accuracy 0.555999994278, loop: 580
percent test accuracy 0.558000028133, loop: 590
percent test accuracy 0.561999976635, loop: 600
percent test accuracy 0.560000002384, loop: 610
percent test accuracy 0.56400001049, loop: 620
percent test accuracy 0.558000028133, loop: 630
percent test accuracy 0.560000002384, loop: 640
percent test accuracy 0.561999976635, loop: 650
percent test accuracy 0.560000002384, loop: 660
percent test accuracy 0.561999976635, loop: 670
percent test accuracy 0.560000002384, loop: 680
percent test accuracy 0.565999984741, loop: 690
percent test accuracy 0.568000018597, loop: 700
percent test accuracy 0.560000002384, loop: 710
percent test accuracy 0.568000018597, loop: 720
percent test accuracy 0.565999984741, loop: 730
percent test accuracy 0.568000018597, loop: 740
percent test accuracy 0.568000018597, loop: 750
percent test accuracy 0.56400001049, loop: 760
percent test accuracy 0.569999992847, loop: 770
percent test accuracy 0.565999984741, loop: 780
percent test accuracy 0.565999984741, loop: 790
percent test accuracy 0.565999984741, loop: 800
percent test accuracy 0.572000026703, loop: 810
percent test accuracy 0.569999992847, loop: 820
percent test accuracy 0.572000026703, loop: 830
percent test accuracy 0.568000018597, loop: 840
percent test accuracy 0.569999992847, loop: 850
percent test accuracy 0.574000000954, loop: 860
percent test accuracy 0.568000018597, loop: 870
percent test accuracy 0.565999984741, loop: 880
percent test accuracy 0.572000026703, loop: 890
percent test accuracy 0.574000000954, loop: 900
percent test accuracy 0.572000026703, loop: 910
percent test accuracy 0.57800000906, loop: 920
percent test accuracy 0.57800000906, loop: 930
percent test accuracy 0.569999992847, loop: 940
percent test accuracy 0.565999984741, loop: 950
percent test accuracy 0.56400001049, loop: 960
percent test accuracy 0.569999992847, loop: 970
percent test accuracy 0.574000000954, loop: 980
percent test accuracy 0.572000026703, loop: 990
percent test accuracy 0.579999983311, loop: 1000


percent test accuracy 0.574000000954, loop: 10
percent test accuracy 0.575999975204, loop: 20
percent test accuracy 0.572000026703, loop: 30
percent test accuracy 0.569999992847, loop: 40
percent test accuracy 0.574000000954, loop: 50
percent test accuracy 0.57800000906, loop: 60
percent test accuracy 0.575999975204, loop: 70
percent test accuracy 0.569999992847, loop: 80
percent test accuracy 0.569999992847, loop: 90
percent test accuracy 0.572000026703, loop: 100
percent test accuracy 0.575999975204, loop: 110
percent test accuracy 0.572000026703, loop: 120
