learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.689999997616, loop: 1000


percent test accuracy 0.68599998951, loop: 10
percent test accuracy 0.691999971867, loop: 20
percent test accuracy 0.702000021935, loop: 30
percent test accuracy 0.694000005722, loop: 40
percent test accuracy 0.694000005722, loop: 50
percent test accuracy 0.694000005722, loop: 60
percent test accuracy 0.689999997616, loop: 70
percent test accuracy 0.698000013828, loop: 80
percent test accuracy 0.699999988079, loop: 90
percent test accuracy 0.694000005722, loop: 100
percent test accuracy 0.688000023365, loop: 110
percent test accuracy 0.691999971867, loop: 120
percent test accuracy 0.691999971867, loop: 130
percent test accuracy 0.695999979973, loop: 140
percent test accuracy 0.688000023365, loop: 150
percent test accuracy 0.698000013828, loop: 160
percent test accuracy 0.699999988079, loop: 170
percent test accuracy 0.702000021935, loop: 180
percent test accuracy 0.675999999046, loop: 190
percent test accuracy 0.694000005722, loop: 200
percent test accuracy 0.691999971867, loop: 210
percent test accuracy 0.695999979973, loop: 220
percent test accuracy 0.698000013828, loop: 230
percent test accuracy 0.695999979973, loop: 240
percent test accuracy 0.699999988079, loop: 250
percent test accuracy 0.695999979973, loop: 260
percent test accuracy 0.691999971867, loop: 270
percent test accuracy 0.691999971867, loop: 280
percent test accuracy 0.702000021935, loop: 290
percent test accuracy 0.702000021935, loop: 300
percent test accuracy 0.695999979973, loop: 310
percent test accuracy 0.689999997616, loop: 320
percent test accuracy 0.702000021935, loop: 330
percent test accuracy 0.694000005722, loop: 340
percent test accuracy 0.691999971867, loop: 350
percent test accuracy 0.699999988079, loop: 360
percent test accuracy 0.691999971867, loop: 370
percent test accuracy 0.68599998951, loop: 380
percent test accuracy 0.694000005722, loop: 390
percent test accuracy 0.68599998951, loop: 400
percent test accuracy 0.694000005722, loop: 410
percent test accuracy 0.688000023365, loop: 420
percent test accuracy 0.695999979973, loop: 430
percent test accuracy 0.691999971867, loop: 440
percent test accuracy 0.702000021935, loop: 450
percent test accuracy 0.691999971867, loop: 460
percent test accuracy 0.694000005722, loop: 470
percent test accuracy 0.695999979973, loop: 480
percent test accuracy 0.681999981403, loop: 490
percent test accuracy 0.680000007153, loop: 500
percent test accuracy 0.684000015259, loop: 510
percent test accuracy 0.688000023365, loop: 520
percent test accuracy 0.689999997616, loop: 530
percent test accuracy 0.688000023365, loop: 540
percent test accuracy 0.705999970436, loop: 550
percent test accuracy 0.68599998951, loop: 560
percent test accuracy 0.68599998951, loop: 570
percent test accuracy 0.691999971867, loop: 580
percent test accuracy 0.68599998951, loop: 590
percent test accuracy 0.688000023365, loop: 600
percent test accuracy 0.68599998951, loop: 610
percent test accuracy 0.694000005722, loop: 620
percent test accuracy 0.709999978542, loop: 630
percent test accuracy 0.698000013828, loop: 640
percent test accuracy 0.698000013828, loop: 650
percent test accuracy 0.694000005722, loop: 660
percent test accuracy 0.688000023365, loop: 670
percent test accuracy 0.694000005722, loop: 680
percent test accuracy 0.694000005722, loop: 690
percent test accuracy 0.68599998951, loop: 700
percent test accuracy 0.688000023365, loop: 710
percent test accuracy 0.694000005722, loop: 720
percent test accuracy 0.694000005722, loop: 730
percent test accuracy 0.689999997616, loop: 740
percent test accuracy 0.691999971867, loop: 750
percent test accuracy 0.688000023365, loop: 760
percent test accuracy 0.691999971867, loop: 770
percent test accuracy 0.689999997616, loop: 780
percent test accuracy 0.695999979973, loop: 790
percent test accuracy 0.694000005722, loop: 800
percent test accuracy 0.695999979973, loop: 810
percent test accuracy 0.691999971867, loop: 820
percent test accuracy 0.698000013828, loop: 830
percent test accuracy 0.699999988079, loop: 840
percent test accuracy 0.695999979973, loop: 850
percent test accuracy 0.68599998951, loop: 860
percent test accuracy 0.712000012398, loop: 870
percent test accuracy 0.695999979973, loop: 880
percent test accuracy 0.698000013828, loop: 890
percent test accuracy 0.691999971867, loop: 900
percent test accuracy 0.691999971867, loop: 910
percent test accuracy 0.681999981403, loop: 920
percent test accuracy 0.698000013828, loop: 930
percent test accuracy 0.684000015259, loop: 940
percent test accuracy 0.694000005722, loop: 950
percent test accuracy 0.681999981403, loop: 960
percent test accuracy 0.689999997616, loop: 970
percent test accuracy 0.695999979973, loop: 980
percent test accuracy 0.689999997616, loop: 990
percent test accuracy 0.699999988079, loop: 1000


percent test accuracy 0.694000005722, loop: 10
percent test accuracy 0.709999978542, loop: 20
percent test accuracy 0.709999978542, loop: 30
percent test accuracy 0.712000012398, loop: 40
percent test accuracy 0.688000023365, loop: 50
percent test accuracy 0.699999988079, loop: 60
percent test accuracy 0.699999988079, loop: 70
percent test accuracy 0.695999979973, loop: 80
percent test accuracy 0.703999996185, loop: 90
percent test accuracy 0.703999996185, loop: 100
percent test accuracy 0.705999970436, loop: 110
percent test accuracy 0.699999988079, loop: 120
percent test accuracy 0.702000021935, loop: 130
percent test accuracy 0.699999988079, loop: 140
percent test accuracy 0.699999988079, loop: 150
percent test accuracy 0.698000013828, loop: 160
percent test accuracy 0.702000021935, loop: 170
percent test accuracy 0.694000005722, loop: 180
